"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
2818,"Quiet Garden View Room & Super Fast WiFi",3159,"Daniel",NA,"Oostelijk Havengebied - Indische Buurt",52.36435,4.94358,"Private room",60,3,285,"2021-11-21",2.83,1,70,7,"0363 5F3A 5684 6750 D14D"
20168,"Studio with private bathroom in the centre 1",59484,"Alexander",NA,"Centrum-Oost",52.36407,4.89393,"Private room",106,1,339,"2020-03-27",3.53,2,0,0,"0363 CBB3 2C10 0C2A 1E29"
27886,"Romantic, stylish B&B houseboat in canal district",97647,"Flip",NA,"Centrum-West",52.38761,4.89188,"Private room",135,2,226,"2021-10-20",2.11,1,8,7,"0363 974D 4986 7411 88D8"
28871,"Comfortable double room",124245,"Edwin",NA,"Centrum-West",52.36775,4.89092,"Private room",75,2,370,"2021-11-25",4.63,2,238,34,"0363 607B EA74 0BD8 2F6F"
29051,"Comfortable single room",124245,"Edwin",NA,"Centrum-Oost",52.36584,4.89111,"Private room",55,2,520,"2021-11-26",5.57,2,267,41,"0363 607B EA74 0BD8 2F6F"
44391,"Quiet 2-bedroom Amsterdam city centre apartment",194779,"Jan",NA,"Centrum-Oost",52.37168,4.91471,"Entire home/apt",240,3,41,"2019-09-22",0.6,1,0,2,"0363 E76E F06A C1DD 172C"
49552,"Multatuli Luxury Guest Suite in top location",225987,"Joanna & MP",NA,"Centrum-West",52.38028,4.89089,"Entire home/apt",179,3,392,"2021-11-28",3.67,1,185,24,"0363 576A D827 5085 6B83"
49790,"Luxurous Houseboat-Great Location",227530,"Klaas",NA,"De Baarsjes - Oud-West",52.36158,4.86101,"Entire home/apt",250,3,105,"2019-05-14",0.82,1,219,2,"0363 4574 0059 C89C 0671"
50523,"B & B de 9 Straatjes (city center)",231946,"Raymond",NA,"Centrum-West",52.36811,4.88262,"Private room",118,2,312,"2020-02-21",2.49,1,316,5,"0363 22DC 0E52 B70B 0FB8"
55621,"Fully equiped house, PIJP area = great",262846,"Bharati",NA,"De Pijp - Rivierenbuurt",52.35399,4.89756,"Entire home/apt",222,3,32,"2018-08-19",0.47,1,0,0,"0363 CA77 7271 E2DF 1B5E"
