"Neighborhoods","Periods","CrimeType_Category","total_crime_sum"
"Bijlmer-Centrum","Apr2021","Environment",1
"Bijlmer-Centrum","Apr2021","Inappropriateness",2
"Bijlmer-Centrum","Apr2021","Other",1
"Bijlmer-Centrum","Apr2021","Robbery/Theft",25
"Bijlmer-Centrum","Apr2021","Smuggling",0
"Bijlmer-Centrum","Apr2021","Total",54
"Bijlmer-Centrum","Apr2021","Violence",20
"Bijlmer-Centrum","Aug2021","Environment",0
"Bijlmer-Centrum","Aug2021","Inappropriateness",4
"Bijlmer-Centrum","Aug2021","Other",1
"Bijlmer-Centrum","Aug2021","Robbery/Theft",39
"Bijlmer-Centrum","Aug2021","Smuggling",3
"Bijlmer-Centrum","Aug2021","Total",76
"Bijlmer-Centrum","Aug2021","Violence",23
"Bijlmer-Centrum","Dec2021","Environment",2
"Bijlmer-Centrum","Dec2021","Inappropriateness",3
"Bijlmer-Centrum","Dec2021","Other",6
"Bijlmer-Centrum","Dec2021","Robbery/Theft",32
"Bijlmer-Centrum","Dec2021","Smuggling",1
"Bijlmer-Centrum","Dec2021","Total",53
"Bijlmer-Centrum","Dec2021","Violence",9
"Bijlmer-Centrum","Feb2021","Environment",0
"Bijlmer-Centrum","Feb2021","Inappropriateness",4
"Bijlmer-Centrum","Feb2021","Other",5
"Bijlmer-Centrum","Feb2021","Robbery/Theft",22
"Bijlmer-Centrum","Feb2021","Smuggling",0
"Bijlmer-Centrum","Feb2021","Total",43
"Bijlmer-Centrum","Feb2021","Violence",11
"Bijlmer-Centrum","Jan2021","Environment",0
"Bijlmer-Centrum","Jan2021","Inappropriateness",4
"Bijlmer-Centrum","Jan2021","Other",4
"Bijlmer-Centrum","Jan2021","Robbery/Theft",27
"Bijlmer-Centrum","Jan2021","Smuggling",3
"Bijlmer-Centrum","Jan2021","Total",55
"Bijlmer-Centrum","Jan2021","Violence",17
"Bijlmer-Centrum","July2021","Environment",0
"Bijlmer-Centrum","July2021","Inappropriateness",2
"Bijlmer-Centrum","July2021","Other",3
"Bijlmer-Centrum","July2021","Robbery/Theft",32
"Bijlmer-Centrum","July2021","Smuggling",0
"Bijlmer-Centrum","July2021","Total",61
"Bijlmer-Centrum","July2021","Violence",20
"Bijlmer-Centrum","June021","Environment",1
"Bijlmer-Centrum","June021","Inappropriateness",5
"Bijlmer-Centrum","June021","Other",5
"Bijlmer-Centrum","June021","Robbery/Theft",42
"Bijlmer-Centrum","June021","Smuggling",0
"Bijlmer-Centrum","June021","Total",81
"Bijlmer-Centrum","June021","Violence",24
"Bijlmer-Centrum","May2021","Environment",0
"Bijlmer-Centrum","May2021","Inappropriateness",3
"Bijlmer-Centrum","May2021","Other",6
"Bijlmer-Centrum","May2021","Robbery/Theft",49
"Bijlmer-Centrum","May2021","Smuggling",5
"Bijlmer-Centrum","May2021","Total",86
"Bijlmer-Centrum","May2021","Violence",21
"Bijlmer-Centrum","Mrt2021","Environment",1
"Bijlmer-Centrum","Mrt2021","Inappropriateness",1
"Bijlmer-Centrum","Mrt2021","Other",2
"Bijlmer-Centrum","Mrt2021","Robbery/Theft",30
"Bijlmer-Centrum","Mrt2021","Smuggling",0
"Bijlmer-Centrum","Mrt2021","Total",48
"Bijlmer-Centrum","Mrt2021","Violence",11
"Bijlmer-Centrum","Nov2021","Environment",0
"Bijlmer-Centrum","Nov2021","Inappropriateness",3
"Bijlmer-Centrum","Nov2021","Other",9
"Bijlmer-Centrum","Nov2021","Robbery/Theft",57
"Bijlmer-Centrum","Nov2021","Smuggling",1
"Bijlmer-Centrum","Nov2021","Total",94
"Bijlmer-Centrum","Nov2021","Violence",21
"Bijlmer-Centrum","Oct2021","Environment",1
"Bijlmer-Centrum","Oct2021","Inappropriateness",7
"Bijlmer-Centrum","Oct2021","Other",0
"Bijlmer-Centrum","Oct2021","Robbery/Theft",77
"Bijlmer-Centrum","Oct2021","Smuggling",14
"Bijlmer-Centrum","Oct2021","Total",133
"Bijlmer-Centrum","Oct2021","Violence",29
"Bijlmer-Centrum","Sept2021","Environment",2
"Bijlmer-Centrum","Sept2021","Inappropriateness",10
"Bijlmer-Centrum","Sept2021","Other",7
"Bijlmer-Centrum","Sept2021","Robbery/Theft",46
"Bijlmer-Centrum","Sept2021","Smuggling",1
"Bijlmer-Centrum","Sept2021","Total",86
"Bijlmer-Centrum","Sept2021","Violence",20
"Bos en Lommer","Apr2021","Environment",0
"Bos en Lommer","Apr2021","Inappropriateness",11
"Bos en Lommer","Apr2021","Other",18
"Bos en Lommer","Apr2021","Robbery/Theft",87
"Bos en Lommer","Apr2021","Smuggling",3
"Bos en Lommer","Apr2021","Total",180
"Bos en Lommer","Apr2021","Violence",55
"Bos en Lommer","Aug2021","Environment",0
"Bos en Lommer","Aug2021","Inappropriateness",6
"Bos en Lommer","Aug2021","Other",22
"Bos en Lommer","Aug2021","Robbery/Theft",75
"Bos en Lommer","Aug2021","Smuggling",5
"Bos en Lommer","Aug2021","Total",163
"Bos en Lommer","Aug2021","Violence",52
"Bos en Lommer","Dec2021","Environment",1
